Pair,Judge,segment,Score
Zhang Dan / Zhang Hao-CHN,Anna Sierocka-POL,Free Skating,8
Zhang Dan / Zhang Hao-CHN,Beno?t Lavoie-CAN,Free Skating,8
Zhang Dan / Zhang Hao-CHN,Vladyslav Petukhov-UKR,Free Skating,8
Zhang Dan / Zhang Hao-CHN,Sissy Krick-GER,Free Skating,8
Zhang Dan / Zhang Hao-CHN,Hideo Sugita-JPN,Free Skating,7
Tiffany Scott / Philip Dulebohn-USA,Marina Sanaya-RUS,Free Skating,7
Tiffany Scott / Philip Dulebohn-USA,Yang Jiasheng-CHN,Free Skating,8
Tiffany Scott / Philip Dulebohn-USA,Lucy Brennan-USA,Free Skating,9
Tiffany Scott / Philip Dulebohn-USA,Marie-Reine Le Gougne-FRA,Free Skating,7
Tiffany Scott / Philip Dulebohn-USA,Anna Sierocka-POL,Free Skating,6
Tiffany Scott / Philip Dulebohn-USA,Beno?t Lavoie-CAN,Free Skating,7
Tiffany Scott / Philip Dulebohn-USA,Vladyslav Petukhov-UKR,Free Skating,5
Tiffany Scott / Philip Dulebohn-USA,Sissy Krick-GER,Free Skating,7
Tiffany Scott / Philip Dulebohn-USA,Hideo Sugita-JPN,Free Skating,10
Olena Savchenko / Stanislav Morozov-UKR,Marina Sanaya-RUS,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Yang Jiasheng-CHN,Free Skating,5
Olena Savchenko / Stanislav Morozov-UKR,Lucy Brennan-USA,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Marie-Reine Le Gougne-FRA,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Anna Sierocka-POL,Free Skating,7
Olena Savchenko / Stanislav Morozov-UKR,Beno?t Lavoie-CAN,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Vladyslav Petukhov-UKR,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Sissy Krick-GER,Free Skating,6
Olena Savchenko / Stanislav Morozov-UKR,Hideo Sugita-JPN,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Marina Sanaya-RUS,Free Skating,5
Mariana Kautz / Norman Jeschke-GER,Yang Jiasheng-CHN,Free Skating,6
Mariana Kautz / Norman Jeschke-GER,Lucy Brennan-USA,Free Skating,5
